Username,Comment,Date
_*****n,Received in a good condition. Seller wrapped my item nicely. Fast delivery!!! Good job seller. Thank you👍🏻,2021-12-13
w*****1,"Fast shipping and delivery
Safe packaging and arrival
Authentic product",2023-08-29
hanimhussein,The delivery was really fast and items were packed really nicely. Items are also in good quality.,2021-05-28
,Dah sampai jnt laju seller pos pon cepat wrap tebal takde ape pon rosak ,2023-08-29
i*****6,Fast delivery. Good packaging. Items received in good condition. Definitely will buy again.,2021-12-30
nafami,"Avne patch cepat sampai..
Harga berpatutan..love it..
Packaging yg bagus..
Suka sgt guna ni..
Tq seller..mat ri ye",2021-04-25
n*****d,"Skin Suitability:good
Effectiveness:good

Good packaging, fast delivery.. purchase during sales.. Thank you",2023-11-19
tieqah01,Barang sampai dalam keadaan yg baik serta dibungkus dgn kemas dan penghantaran brg juga cepat,2021-09-15
adyani_azemi,Barang sampai dgn elok.. penghantaran cepat.. murah dan berbaloi.. akan repeat order lagi... Recommended seller......,2020-04-15
elaine1914,"Good product quality
Good value for money 
Fast delivery 
Excellent service by seller ",2020-02-07
g*****h,"Skin Suitability:okay
Effectiveness:okay

Received in good condition and packing well before shipping fast delivery",2023-08-29
nurmyra2,"Fast delivery from J&T walaupun seller pos out lambat sikit 📦 🚚💨 Barang sampai dalam keadaan baik, thank you seller for the free gifts 🎁🥰",2023-08-29
hs2012,"Skin Suitability:good
Effectiveness:good

Good packing without any physical damages
Long expiry date",2022-05-09
j*****1,"Received in good condition
Price is cheaper than retail shop
This acne patch very easy to use and effective",2021-11-15
s*****6,"Skin Suitability:all
Effectiveness:👍

Quite fast delivery for shopee express. The price very cheap because got rm 5 discount!",2022-01-24
alicia117,All item was nicely packed and arrived safe and sound. Thank you seller for the free gift.,2021-06-16
c*****5,Received the product in good condition just that the box a bit dented. Fast delivery ,2021-02-25
aleeyakhasif,"Effectiveness:Very working just need times
Skin Suitability:good

Fast delivery...good packaging..",2024-02-11
fatin_najihah93,Item received in a good condition. Fast delivery even mco. Thanks seller! 👍,2020-05-04
y*****w,"Fast delivery, product arrived safety. 
Thanks for the free gift 😘😘",2021-01-21
a*****g,I have received the item in good condition. 👍👍👍👍 Fast delivery,2021-08-30
a*****5,it's safely arrived! thank you mentholatum. good service from seller. ,2020-11-10
n*****d,"Skin Suitability:for acne
Effectiveness:good

it work for acne skin. fast delivery. good packaging. thank you.",2024-03-13
yaneee.co,Barang sampai dalam keadaan baik. Cuma penghantaran sedikit lambat during to MCO. Tapi beli kat sini sebab harga murah dan berbaloi. ,2020-05-16
anssushi,Uwu very fast delivery! Plus very well packaging.Worth every penny thank u!! Gonna repeat,2020-02-13
f*****6,Fast delivery & good product quality. N times repurchase of this product.,2020-07-29
m*****8,"Skin Suitability:suitable
Effectiveness:7/10

Shipping is fast to Sarawak. Receive items in amazing condition. For Dry skin, please try these products!",2023-08-29
anzylasu,"Barang dibalut dengan rapi dan kemas, penghantaran agak lambat, seller reply is okay, barang ada kemek sikit kalau dlm kotak, tapi memang secure 5/5. Very good service!",2020-05-14
,"Good product quality ✅
Good Value for money ✅
Excellent service by seller✅",2022-05-02
a*****h,"Good product quality, good value for money, excellent services by seller.",2022-09-17
sue_omar,"Received product in a very good condition!  Also very fast shipping too😁
Satisfied with this purchased! Thanks seller🥰🥰🥰",2020-11-13
waty1806,Barang dah sampai dengan keadaan yang baik bungkusan kemas..tapi penghantaran lambat sikit..,2023-08-29
h*****c,"Item received in good condition....
Quite fast delivery 
Wrapped in a big box 😂👍👍",2021-07-07
w*****h,Quite cheap bcs i got it while sale not satisfied with the product but oklahla dgn harga. And alsooooo super fast delivery i loike,2023-08-29
r*****i,Item received in a good condition and same as shown in the picture. Ada penyepit so that you don't need to use your hand. The patch very good for the acne.,2021-10-12
div_22,"First time trying both products. So happy with the packaging. The seller bubble wrapped everything. If these products suit my skin, I would definitely buy again. Thank you seller for putting care and consideration into packaging. Really appreciate. Not to forget, the delivery was  quite was fast too.",2023-09-30
nurulasyikin1305,"Effectiveness:sangat efektif
Skin Suitability:sangat sesuai

Best giler. Mmg bace review pun ramai ckp brand ni bagus. Mmg die sedut nanah jerawat tu ye. Mmg akan repeat lagi",2023-08-29
tiffany_0119,"Effectiveness:nice products

I always purchased this products and it is useful for the pimples. Get the very valuable price during 10/10.",2023-10-11
tanyingxin1,"Well received. Ordered on 9/9, Shipped on 11/9, Received on 13/9. Authentic product, small and thin patch. Highly recommended!",2021-09-13
l*****a,"Effectiveness:good
Skin Suitability:good

Got a broken box and also acne patch one.
Should be wrap with bubble wrap before posting pls.
Kinda take times to delivery but it’s okay.",2023-10-31
belindayap,"Fast delivery, is cheaper when use voucher. Packaging not so good most of the box out of shape. Expiry date 06/24",2019-10-11
r*****x,Item received in good condition. This acne patch works really good for me. I just luv it so muchhhiieee.. ❤️❤️❤️🥰🥰🥰🤍🤍🤍🤍🤍👍👍,2023-08-31
o*****a,Loving the acne patch since it protect my acne. Fast delivery and really convenience,2021-04-07
a*****0,arrived safely and i love wearing this acne patch for my pimple !,2021-11-13
h*****c,"Fast delivery.... But not properly wrapped ya 
Overall ok. Tq seller",2021-06-25
m*****n,My recent purchase cannot be used at all and customer service is not replying. ,2023-08-29
a*****a,"Skin Suitability:Suitable
Effectiveness:Effective

Kotak ketiga dah ni guna. Suka guna acne patch Oxy sebab dia betul-betul berkesan. Kalau ada jerawat baru kena terus tepek acne patch ni. 😁",2022-01-26
,Barang semua smpai dlm keadaan selamat. Bubble wrap x kedekut and yg paling penting original . Sedih sikit sbb mnta free gift tu color pink tp dpt biru. ,2023-08-29
shazrina97,kemik terukkkk 😂😂😂 tapi takpelah sbb produk kat dalam ok je 🙂,2020-05-02
x*****y,Bought many boxes of these but a few of the boxes have holes and it seems to be stabbed with a pen. Luckily the inside wasn't damaged. Fully bubble wrapped so shouldn't be the courier problem. Please double check the condition of the boxes before sending it out next time. Tq,2020-04-24
